subject,transitionType,acc,transitionThreatKind
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,1,threat-neutral
a2tbkohgx08vrk,l,1,neutral-threat
a2tbkohgx08vrk,i,0,threat-neutral
a2tbkohgx08vrk,l,1,neutral-neutral
a2tbkohgx08vrk,l,1,neutral-threat
a2tbkohgx08vrk,l,1,threat-neutral
a2tbkohgx08vrk,l,1,neutral-threat
a2tbkohgx08vrk,l,1,threat-neutral
a2tbkohgx08vrk,l,1,neutral-neutral
a2tbkohgx08vrk,i,0,neutral-neutral
a2tbkohgx08vrk,l,1,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,i,1,neutral-threat
a2tbkohgx08vrk,l,1,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,1,neutral-threat
a2tbkohgx08vrk,l,0,threat-threat
a2tbkohgx08vrk,i,1,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,1,neutral-neutral
a2tbkohgx08vrk,l,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,i,1,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-threat
a2tbkohgx08vrk,i,1,threat-threat
a2tbkohgx08vrk,l,0,threat-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
a2tbkohgx08vrk,l,0,neutral-neutral
