subject,src,n_trials,score1,score2,score3
a273wocs111dh0,picture2_threat.jpg,1,8,3,3
a273wocs111dh0,picture3_neutral.jpg,1,1,10,10
a273wocs111dh0,picture3_threat.jpg,1,10,1,1
a273wocs111dh0,picture4_neutral.jpg,1,7,4,4
a273wocs111dh0,picture4_threat.jpg,1,2,9,9
a273wocs111dh0,picture5_neutral.jpg,1,1,10,10
a273wocs111dh0,picture6_neutral.jpg,1,6,5,5
a273wocs111dh0,picture9_neutral.jpg,1,8,3,3
a2vo8c41jjiqy9,picture1_neutral.jpg,2,4.5,6,6
a2vo8c41jjiqy9,picture1_threat.jpg,2,2.5,6.5,9
a2vo8c41jjiqy9,picture2_neutral.jpg,2,7,3.5,3.5
a2vo8c41jjiqy9,picture2_threat.jpg,2,5,5.5,5.5
a2vo8c41jjiqy9,picture3_threat.jpg,2,3.5,7,7
a2vo8c41jjiqy9,picture4_threat.jpg,2,9.5,1,1
a2vo8c41jjiqy9,picture6_neutral.jpg,2,2.5,8,8
a2vo8c41jjiqy9,picture7_neutral.jpg,2,9.5,1,1
a2vo8c41jjiqy9,picture8_neutral.jpg,2,1.5,9,9
a2vo8c41jjiqy9,picture9_neutral.jpg,2,1.5,9,9
a2vr9o234uct9t,picture10_neutral.jpg,1,2,1,1
a2vr9o234uct9t,picture1_neutral.jpg,1,2,1,1
a2vr9o234uct9t,picture1_threat.jpg,1,2,1,1
a2vr9o234uct9t,picture2_neutral.jpg,1,2,1,1
a2vr9o234uct9t,picture2_threat.jpg,1,2,1,1
a2vr9o234uct9t,picture3_threat.jpg,1,2,1,1
a2vr9o234uct9t,picture4_neutral.jpg,1,1,2,2
a2vr9o234uct9t,picture4_threat.jpg,1,1,2,2
a2vr9o234uct9t,picture7_neutral.jpg,1,1,2,2
a2vr9o234uct9t,picture9_neutral.jpg,1,1,2,2
a2z58pti5rfdkk,picture10_neutral.jpg,1,2,1,1
a2z58pti5rfdkk,picture1_neutral.jpg,1,1,2,2
a2z58pti5rfdkk,picture1_threat.jpg,1,2,1,1
a2z58pti5rfdkk,picture2_neutral.jpg,1,2,1,1
a2z58pti5rfdkk,picture2_threat.jpg,1,2,1,1
a2z58pti5rfdkk,picture3_threat.jpg,1,2,1,1
a2z58pti5rfdkk,picture4_threat.jpg,1,2,1,1
a2z58pti5rfdkk,picture6_neutral.jpg,1,2,1,1
